Date : 2023-05-09 20:50:23
Directory : c:\Users\Tochi\Documents\webtoolsClone\webtools
Total : 688 files,  116311 codes, 9009 comments, 17588 blanks, all 142908 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| api\private\save_publish_manifest                                                                     |          1 |         25 |          3 |          5 |         33 |
| api\private\update_user_template                                                                      |          1 |          7 |          1 |          1 |          9 |
| api\update                                                                                            |          1 |        212 |         30 |         18 |        260 |
| assets                                                                                                |          2 |          5 |          0 |          1 |          6 |
| assets (Files)                                                                                        |          1 |          4 |          0 |          1 |          5 |
| assets\images                                                                                         |          1 |          1 |          0 |          0 |          1 |
| codemirror                                                                                            |        574 |     94,007 |      7,546 |     13,842 |    115,395 |
| codemirror (Files)                                                                                    |          6 |      1,492 |          6 |        969 |      2,467 |
| codemirror\addon                                                                                      |         68 |      8,198 |        658 |      1,041 |      9,897 |
| codemirror\addon\comment                                                                              |          2 |        280 |         19 |         28 |        327 |
| codemirror\addon\dialog                                                                               |          2 |        159 |         11 |         27 |        197 |
| codemirror\addon\display                                                                              |          6 |        310 |         12 |         40 |        362 |
| codemirror\addon\edit                                                                                 |          6 |        602 |         67 |         77 |        746 |
| codemirror\addon\fold                                                                                 |          8 |        703 |         26 |         86 |        815 |
| codemirror\addon\hint                                                                                 |          8 |      1,231 |        243 |        150 |      1,624 |
| codemirror\addon\lint                                                                                 |          8 |        544 |         41 |         85 |        670 |
| codemirror\addon\merge                                                                                |          2 |        999 |         26 |        114 |      1,139 |
| codemirror\addon\mode                                                                                 |          5 |        477 |         22 |         63 |        562 |
| codemirror\addon\runmode                                                                              |          4 |        641 |         64 |         78 |        783 |
| codemirror\addon\scroll                                                                               |          4 |        340 |          6 |         52 |        398 |
| codemirror\addon\search                                                                               |          6 |        792 |         47 |         92 |        931 |
| codemirror\addon\selection                                                                            |          3 |        250 |         11 |         31 |        292 |
| codemirror\addon\tern                                                                                 |          3 |        727 |         58 |        105 |        890 |
| codemirror\addon\wrap                                                                                 |          1 |        143 |          5 |         13 |        161 |
| codemirror\bin                                                                                        |          2 |         44 |          1 |          7 |         52 |
| codemirror\demo                                                                                       |         45 |      3,491 |          1 |        511 |      4,003 |
| codemirror\doc                                                                                        |         11 |      6,507 |          1 |      1,010 |      7,518 |
| codemirror\keymap                                                                                     |          3 |      6,124 |        743 |        378 |      7,245 |
| codemirror\lib                                                                                        |          2 |      8,161 |      1,048 |      1,011 |     10,220 |
| codemirror\mode                                                                                       |        287 |     44,346 |      3,484 |      6,823 |     54,653 |
| codemirror\mode (Files)                                                                               |          2 |        370 |          3 |         16 |        389 |
| codemirror\mode\apl                                                                                   |          2 |        225 |          2 |         21 |        248 |
| codemirror\mode\asciiarmor                                                                            |          2 |        106 |          2 |         14 |        122 |
| codemirror\mode\asn.1                                                                                 |          2 |        255 |          4 |         25 |        284 |
| codemirror\mode\asterisk                                                                              |          2 |        315 |         25 |         37 |        377 |
| codemirror\mode\brainfuck                                                                             |          2 |        142 |         16 |         14 |        172 |
| codemirror\mode\clike                                                                                 |          4 |      1,876 |        178 |        202 |      2,256 |
| codemirror\mode\clojure                                                                               |          3 |        680 |         14 |         80 |        774 |
| codemirror\mode\cmake                                                                                 |          2 |        196 |         10 |         22 |        228 |
| codemirror\mode\cobol                                                                                 |          2 |        445 |         10 |         12 |        467 |
| codemirror\mode\coffeescript                                                                          |          2 |        843 |         25 |        233 |      1,101 |
| codemirror\mode\commonlisp                                                                            |          2 |        267 |          2 |         35 |        304 |
| codemirror\mode\crystal                                                                               |          2 |        440 |         20 |         91 |        551 |
| codemirror\mode\css                                                                                   |          9 |      1,503 |         20 |        241 |      1,764 |
| codemirror\mode\cypher                                                                                |          3 |        224 |          6 |         26 |        256 |
| codemirror\mode\d                                                                                     |          3 |        443 |          5 |         62 |        510 |
| codemirror\mode\dart                                                                                  |          2 |        202 |          8 |         29 |        239 |
| codemirror\mode\diff                                                                                  |          2 |        143 |          2 |         21 |        166 |
| codemirror\mode\django                                                                                |          2 |        332 |         45 |         54 |        431 |
| codemirror\mode\dockerfile                                                                            |          3 |        284 |        107 |         24 |        415 |
| codemirror\mode\dtd                                                                                   |          2 |        191 |         12 |         30 |        233 |
| codemirror\mode\dylan                                                                                 |          3 |        704 |         47 |         99 |        850 |
| codemirror\mode\ebnf                                                                                  |          2 |        246 |         25 |         28 |        299 |
| codemirror\mode\ecl                                                                                   |          2 |        228 |          3 |         29 |        260 |
| codemirror\mode\eiffel                                                                                |          2 |        481 |         52 |         58 |        591 |
| codemirror\mode\elm                                                                                   |          2 |        267 |          2 |         39 |        308 |
| codemirror\mode\erlang                                                                                |          2 |        535 |         63 |         99 |        697 |
| codemirror\mode\factor                                                                                |          2 |        120 |         23 |         21 |        164 |
| codemirror\mode\fcl                                                                                   |          2 |        235 |          3 |         45 |        283 |
| codemirror\mode\forth                                                                                 |          2 |        217 |         12 |         28 |        257 |
| codemirror\mode\fortran                                                                               |          2 |        232 |          3 |         36 |        271 |
| codemirror\mode\gas                                                                                   |          2 |        353 |         17 |         53 |        423 |
| codemirror\mode\gfm                                                                                   |          3 |        354 |         17 |         95 |        466 |
| codemirror\mode\gherkin                                                                               |          2 |        166 |         30 |         32 |        228 |
| codemirror\mode\go                                                                                    |          2 |        239 |          3 |         32 |        274 |
| codemirror\mode\groovy                                                                                |          2 |        298 |          5 |         30 |        333 |
| codemirror\mode\haml                                                                                  |          3 |        271 |         18 |         51 |        340 |
| codemirror\mode\handlebars                                                                            |          2 |        117 |          8 |         29 |        154 |
| codemirror\mode\haskell                                                                               |          2 |        293 |          3 |         47 |        343 |
| codemirror\mode\haskell-literate                                                                      |          2 |        268 |          2 |         57 |        327 |
| codemirror\mode\haxe                                                                                  |          2 |        560 |         13 |         68 |        641 |
| codemirror\mode\htmlembedded                                                                          |          2 |         85 |          2 |         12 |         99 |
| codemirror\mode\htmlmixed                                                                             |          2 |        224 |          3 |         28 |        255 |
| codemirror\mode\http                                                                                  |          2 |        132 |          2 |         26 |        160 |
| codemirror\mode\idl                                                                                   |          2 |        318 |          8 |         31 |        357 |
| codemirror\mode\javascript                                                                            |          5 |      1,544 |         25 |        169 |      1,738 |
| codemirror\mode\jinja2                                                                                |          2 |        232 |         11 |         16 |        259 |
| codemirror\mode\jsx                                                                                   |          3 |        208 |         77 |         53 |        338 |
| codemirror\mode\julia                                                                                 |          2 |        487 |         20 |         81 |        588 |
| codemirror\mode\livescript                                                                            |          2 |        620 |          6 |        115 |        741 |
| codemirror\mode\lua                                                                                   |          2 |        200 |          6 |         41 |        247 |
| codemirror\mode\markdown                                                                              |          3 |      1,931 |        199 |        496 |      2,626 |
| codemirror\mode\mathematica                                                                           |          2 |        182 |         30 |         38 |        250 |
| codemirror\mode\mbox                                                                                  |          2 |        138 |         11 |         26 |        175 |
| codemirror\mode\mirc                                                                                  |          2 |        340 |          3 |         13 |        356 |
| codemirror\mode\mllike                                                                                |          2 |        490 |          9 |         60 |        559 |
| codemirror\mode\modelica                                                                              |          2 |        249 |         14 |         51 |        314 |
| codemirror\mode\mscgen                                                                                |          5 |        485 |         19 |         75 |        579 |
| codemirror\mode\mumps                                                                                 |          2 |        180 |         21 |         34 |        235 |
| codemirror\mode\nginx                                                                                 |          2 |        290 |          3 |         68 |        361 |
| codemirror\mode\nsis                                                                                  |          2 |        114 |         23 |         39 |        176 |
| codemirror\mode\ntriples                                                                              |          2 |        201 |         39 |         27 |        267 |
| codemirror\mode\octave                                                                                |          2 |        177 |          9 |         39 |        225 |
| codemirror\mode\oz                                                                                    |          2 |        244 |         19 |         50 |        313 |
| codemirror\mode\pascal                                                                                |          2 |        168 |          3 |         28 |        199 |
| codemirror\mode\pegjs                                                                                 |          2 |        148 |         15 |         16 |        179 |
| codemirror\mode\perl                                                                                  |          2 |        857 |         22 |         34 |        913 |
| codemirror\mode\php                                                                                   |          3 |        395 |         11 |         49 |        455 |
| codemirror\mode\pig                                                                                   |          2 |        182 |         24 |         27 |        233 |
| codemirror\mode\powershell                                                                            |          3 |        599 |         11 |         74 |        684 |
| codemirror\mode\properties                                                                            |          2 |        109 |          3 |         21 |        133 |
| codemirror\mode\protobuf                                                                              |          2 |        138 |          8 |         32 |        178 |
| codemirror\mode\pug                                                                                   |          2 |        573 |         20 |         70 |        663 |
| codemirror\mode\puppet                                                                                |          2 |        260 |         55 |         28 |        343 |
| codemirror\mode\python                                                                                |          3 |        566 |         30 |        105 |        701 |
| codemirror\mode\q                                                                                     |          2 |        263 |          3 |         19 |        285 |
| codemirror\mode\r                                                                                     |          2 |        243 |          4 |         33 |        280 |
| codemirror\mode\rpm                                                                                   |          3 |        262 |          6 |         59 |        327 |
| codemirror\mode\rpm (Files)                                                                           |          2 |        208 |          6 |         46 |        260 |
| codemirror\mode\rpm\changes                                                                           |          1 |         54 |          0 |         13 |         67 |
| codemirror\mode\rst                                                                                   |          2 |        826 |         26 |        242 |      1,094 |
| codemirror\mode\ruby                                                                                  |          3 |        292 |        178 |         42 |        512 |
| codemirror\mode\rust                                                                                  |          3 |        144 |          9 |         25 |        178 |
| codemirror\mode\sas                                                                                   |          2 |        289 |         52 |         45 |        386 |
| codemirror\mode\sass                                                                                  |          3 |        185 |        425 |         42 |        652 |
| codemirror\mode\scheme                                                                                |          2 |        297 |         21 |         45 |        363 |
| codemirror\mode\shell                                                                                 |          3 |        264 |          6 |         47 |        317 |
| codemirror\mode\sieve                                                                                 |          2 |        227 |         10 |         51 |        288 |
| codemirror\mode\slim                                                                                  |          3 |        680 |         15 |         75 |        770 |
| codemirror\mode\smalltalk                                                                             |          2 |        187 |          2 |         49 |        238 |
| codemirror\mode\smarty                                                                                |          2 |        316 |          7 |         42 |        365 |
| codemirror\mode\solr                                                                                  |          2 |        131 |          2 |         30 |        163 |
| codemirror\mode\soy                                                                                   |          3 |        871 |         74 |        113 |      1,058 |
| codemirror\mode\sparql                                                                                |          2 |        218 |          2 |         27 |        247 |
| codemirror\mode\spreadsheet                                                                           |          2 |        131 |          7 |         18 |        156 |
| codemirror\mode\sql                                                                                   |          2 |        412 |        171 |         36 |        619 |
| codemirror\mode\stex                                                                                  |          3 |        416 |         18 |         81 |        515 |
| codemirror\mode\stylus                                                                                |          2 |        702 |         98 |         83 |        883 |
| codemirror\mode\swift                                                                                 |          3 |        236 |        183 |         37 |        456 |
| codemirror\mode\tcl                                                                                   |          2 |        269 |          3 |         12 |        284 |
| codemirror\mode\textile                                                                               |          3 |        817 |         32 |        231 |      1,080 |
| codemirror\mode\tiddlywiki                                                                            |          3 |        367 |         37 |         75 |        479 |
| codemirror\mode\tiki                                                                                  |          3 |        375 |          9 |         51 |        435 |
| codemirror\mode\toml                                                                                  |          2 |        140 |          5 |         18 |        163 |
| codemirror\mode\tornado                                                                               |          2 |        117 |          2 |         14 |        133 |
| codemirror\mode\troff                                                                                 |          2 |        208 |          2 |         22 |        232 |
| codemirror\mode\ttcn                                                                                  |          2 |        351 |          4 |         49 |        404 |
| codemirror\mode\ttcn-cfg                                                                              |          2 |        294 |          4 |         33 |        331 |
| codemirror\mode\turtle                                                                                |          2 |        185 |          2 |         28 |        215 |
| codemirror\mode\twig                                                                                  |          2 |        167 |          8 |         15 |        190 |
| codemirror\mode\vb                                                                                    |          2 |        255 |         19 |         52 |        326 |
| codemirror\mode\vbscript                                                                              |          2 |        299 |         34 |         74 |        407 |
| codemirror\mode\velocity                                                                              |          2 |        268 |         17 |         39 |        324 |
| codemirror\mode\verilog                                                                               |          3 |      1,006 |        217 |        124 |      1,347 |
| codemirror\mode\vhdl                                                                                  |          2 |        248 |          4 |         34 |        286 |
| codemirror\mode\vue                                                                                   |          2 |        130 |          2 |         16 |        148 |
| codemirror\mode\wast                                                                                  |          3 |        589 |         10 |         33 |        632 |
| codemirror\mode\webidl                                                                                |          2 |        214 |         16 |         38 |        268 |
| codemirror\mode\xml                                                                                   |          3 |        478 |          8 |         46 |        532 |
| codemirror\mode\xquery                                                                                |          3 |        566 |         64 |         99 |        729 |
| codemirror\mode\yacas                                                                                 |          2 |        217 |         19 |         57 |        293 |
| codemirror\mode\yaml                                                                                  |          2 |        161 |         16 |         25 |        202 |
| codemirror\mode\yaml-frontmatter                                                                      |          2 |        158 |          3 |         34 |        195 |
| codemirror\mode\z80                                                                                   |          2 |        143 |          2 |         26 |        171 |
| codemirror\src                                                                                        |         67 |      8,355 |      1,027 |      1,049 |     10,431 |
| codemirror\src (Files)                                                                                |          2 |         76 |         12 |         13 |        101 |
| codemirror\src\addon                                                                                  |          4 |         31 |          7 |         13 |         51 |
| codemirror\src\addon\runmode                                                                          |          4 |         31 |          7 |         13 |         51 |
| codemirror\src\display                                                                                |         15 |      1,514 |        213 |        205 |      1,932 |
| codemirror\src\edit                                                                                   |         13 |      1,798 |        132 |        211 |      2,141 |
| codemirror\src\input                                                                                  |          7 |      1,149 |        113 |        151 |      1,413 |
| codemirror\src\line                                                                                   |          6 |        929 |        136 |         99 |      1,164 |
| codemirror\src\measurement                                                                            |          2 |        550 |        120 |         60 |        730 |
| codemirror\src\model                                                                                  |         10 |      1,640 |        182 |        202 |      2,024 |
| codemirror\src\util                                                                                   |          8 |        668 |        112 |         95 |        875 |
| codemirror\test                                                                                       |         18 |      4,780 |        130 |        500 |      5,410 |
| codemirror\theme                                                                                      |         65 |      2,509 |        447 |        543 |      3,499 |
| community                                                                                             |          5 |        753 |         10 |        138 |        901 |
| docs                                                                                                  |          2 |        954 |         20 |         72 |      1,046 |
| embed                                                                                                 |          1 |         11 |          0 |          1 |         12 |
| embed\directory                                                                                       |          1 |         11 |          0 |          1 |         12 |
| libraries                                                                                             |          6 |         14 |          0 |          2 |         16 |
| pages                                                                                                 |          6 |         83 |          0 |          3 |         86 |
| pages (Files)                                                                                         |          3 |         23 |          0 |          2 |         25 |
| pages\darknessByTochi                                                                                 |          3 |         60 |          0 |          1 |         61 |
| para                                                                                                  |          2 |        175 |          1 |         25 |        201 |
| para (Files)                                                                                          |          1 |        106 |          0 |         13 |        119 |
| para\api                                                                                              |          1 |         69 |          1 |         12 |         82 |
| para\api\paraphrase                                                                                   |          1 |         69 |          1 |         12 |         82 |
| phpLibs                                                                                               |          1 |        219 |        118 |         49 |        386 |
| private_docs                                                                                          |          2 |         15 |          0 |         13 |         28 |
| test_suite                                                                                            |          4 |        118 |         10 |         12 |        140 |
| user_assets                                                                                           |          6 |      1,463 |         68 |        208 |      1,739 |
| webtools                                                                                              |          1 |        102 |         54 |          6 |        162 |
| x                                                                                                     |          4 |        177 |          0 |         21 |        198 |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                              | language     | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\Users\Tochi\Documents\webtoolsClone\webtools\.idea\.idea.webtools.dir\.idea\indexLayout.xml        | XML          |          8 |          0 |          0 |          8 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\.idea\.idea.webtools.dir\.idea\vcs.xml                | XML          |          6 |          0 |          0 |          6 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\@tochi\index.html                                     | HTML         |         14 |          0 |          0 |         14 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\@tochi\script.js                                      | JavaScript   |          2 |          0 |          0 |          2 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\@tochi\style.css                                      | CSS          |          0 |          0 |          1 |          1 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\GLTFLoader.js                                         | JavaScript   |      2,330 |        348 |      1,757 |      4,435 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\README.md                                             | Markdown     |          1 |          0 |          0 |          1 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\about.php                                             | PHP          |         19 |          0 |          0 |         19 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\create\index.php                                  | PHP          |        146 |         27 |         21 |        194 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\delete\index.php                                  | PHP          |          3 |          0 |          2 |          5 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\get_projects\index.php                            | PHP          |        117 |         35 |         16 |        168 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\dev_search_engine\index.php               | PHP          |          0 |          0 |          1 |          1 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\docs\index.php                            | PHP          |          0 |          0 |          1 |          1 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\drop_file_js\index.php                    | PHP          |         63 |          0 |         10 |         73 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\edit_manifest_js\index.php                | PHP          |         78 |          1 |         12 |         91 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\edit_project_status\index.php             | PHP          |        104 |          6 |          9 |        119 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\edit_test_suite_js\index.php              | PHP          |         22 |          1 |          4 |         27 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\edit_user_info\index.php                  | PHP          |         73 |          7 |         18 |         98 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\get_item_contents\index.php               | PHP          |         45 |          2 |         12 |         59 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\get_project_status\index.php              | PHP          |         60 |          6 |         11 |         77 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\get_user_info\index.php                   | PHP          |         24 |          0 |          3 |         27 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\module_handle_js\index.php                | PHP          |         36 |          9 |          7 |         52 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\private.php                               | PHP          |          7 |          0 |          2 |          9 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\save_project_js\index.php                 | PHP          |         47 |        341 |         13 |        401 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\save_publish_manifest\index.php           | PHP          |         25 |          3 |          5 |         33 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\spam.php                                  | PHP          |         38 |         18 |         15 |         71 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\update_user_template\index.php            | PHP          |          7 |          1 |          1 |          9 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\user_verification.php                     | PHP          |         13 |          5 |          5 |         23 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\user_verification_js.php                  | PHP          |         13 |          5 |          4 |         22 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\validate_input.php                        | PHP          |          8 |          0 |          2 |         10 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\spam.php                                          | PHP          |         38 |         16 |         15 |         69 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\api\update\index.php                                  | PHP          |        212 |         30 |         18 |        260 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\assets\images\play.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\assets\index.php                                      | PHP          |          4 |          0 |          1 |          5 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\bro.php                                               | PHP          |        207 |         10 |         29 |        246 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\CHANGELOG.md                               | Markdown     |      1,288 |          0 |        927 |      2,215 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\CONTRIBUTING.md                            | Markdown     |         70 |          0 |         23 |         93 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\README.md                                  | Markdown     |         35 |          0 |         13 |         48 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\comment\comment.js                   | JavaScript   |        183 |          8 |         21 |        212 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\comment\continuecomment.js           | JavaScript   |         97 |         11 |          7 |        115 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\dialog\dialog.css                    | CSS          |         28 |          0 |          5 |         33 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\dialog\dialog.js                     | JavaScript   |        131 |         11 |         22 |        164 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\display\autorefresh.js               | JavaScript   |         41 |          2 |          5 |         48 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\display\fullscreen.css               | CSS          |          6 |          0 |          1 |          7 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\display\fullscreen.js                | JavaScript   |         35 |          2 |          5 |         42 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\display\panel.js                     | JavaScript   |        113 |          4 |         17 |        134 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\display\placeholder.js               | JavaScript   |         69 |          2 |          8 |         79 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\display\rulers.js                    | JavaScript   |         46 |          2 |          4 |         52 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\edit\closebrackets.js                | JavaScript   |        177 |          2 |         23 |        202 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\edit\closetag.js                     | JavaScript   |        134 |         37 |         15 |        186 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\edit\continuelist.js                 | JavaScript   |         82 |          7 |         13 |        102 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\edit\matchbrackets.js                | JavaScript   |        127 |         17 |         17 |        161 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\edit\matchtags.js                    | JavaScript   |         58 |          2 |          7 |         67 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\edit\trailingspace.js                | JavaScript   |         24 |          2 |          2 |         28 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\fold\brace-fold.js                   | JavaScript   |        103 |          3 |         14 |        120 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\fold\comment-fold.js                 | JavaScript   |         52 |          2 |          6 |         60 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\fold\foldcode.js                     | JavaScript   |        136 |          4 |         20 |        160 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\fold\foldgutter.css                  | CSS          |         20 |          0 |          1 |         21 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\fold\foldgutter.js                   | JavaScript   |        150 |          4 |         16 |        170 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\fold\indent-fold.js                  | JavaScript   |         35 |          8 |          6 |         49 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\fold\markdown-fold.js                | JavaScript   |         39 |          2 |          9 |         50 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\fold\xml-fold.js                     | JavaScript   |        168 |          3 |         14 |        185 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\hint\anyword-hint.js                 | JavaScript   |         35 |          2 |          5 |         42 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\hint\css-hint.js                     | JavaScript   |         55 |          2 |         10 |         67 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\hint\html-hint.js                    | JavaScript   |        152 |        197 |          3 |        352 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\hint\javascript-hint.js              | JavaScript   |        137 |         12 |         14 |        163 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\hint\show-hint.css                   | CSS          |         31 |          0 |          7 |         38 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\hint\show-hint.js                    | JavaScript   |        446 |         14 |         64 |        524 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\hint\sql-hint.js                     | JavaScript   |        253 |         13 |         39 |        305 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\hint\xml-hint.js                     | JavaScript   |        122 |          3 |          8 |        133 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\lint\coffeescript-lint.js            | JavaScript   |         38 |          4 |          6 |         48 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\lint\css-lint.js                     | JavaScript   |         31 |          4 |          6 |         41 |
| c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\lint\html-lint.js                    | JavaScript   |         50 |          4 |          6 |         60 |
